,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,urls,page
2,,,,,https://www.manilatimes.net/2021/02/02/news/latest-stories/ph-records-1583-new-cases-of-covid-19/836221/,11.0
3,,,,,https://www.manilatimes.net/2021/02/02/news/latest-stories/who-slams-critics-of-covid-19-origins-probe/835909/,11.0
4,,,,,https://www.manilatimes.net/2021/02/02/news/latest-stories/just-keep-faith-with-us-duterte-on-corruption-allegations-vs-govt/836184/,11.0
5,,,,,https://www.manilatimes.net/2021/02/02/news/latest-stories/sws-unemployment-hits-record-high-37-4-in-2020/836182/,11.0
6,,,,,https://www.manilatimes.net/2021/02/02/business/business-top/goccs-p119-b-dividends-allocated-for-covid-efforts/836135/,11.0
7,,,,,https://www.manilatimes.net/2021/02/02/sports/gasly-becomes-latest-f1-driver-to-test-positive-for-covid-19/835982/,11.0
8,,,,,https://www.manilatimes.net/2021/01/31/news/world/mexican-president-hopeful-he-can-beat-covid/835379/,11.0
9,,,,,https://www.manilatimes.net/2021/01/31/weekly/the-sunday-times/cover-story/virtus-awards-keeps-silver-lining-in-sight-for-hotel-industry/835342/,11.0
0,,,,,https://www.manilatimes.net/2021/01/31/weekly/the-sunday-times/cover-story/virtus-awards-keeps-silver-lining-in-sight-for-hotel-industry/835342/,12.0
1,,,,,https://www.manilatimes.net/2021/01/31/supplements/toward-a-healthy-2021-and-beyond/835288/,12.0
2,,,,,https://www.manilatimes.net/2021/01/31/supplements/tips-to-keep-healthy-during-the-pandemic/835287/,12.0
3,,,,,https://www.manilatimes.net/2021/01/30/public-square/ic-approves-malayan-covid-19-insurance-products/834920/,12.0
4,,,,,https://www.manilatimes.net/2021/01/29/news/latest-stories/jj-presents-one-dose-shot-vs-covid-19/834916/,12.0
5,,,,,https://www.manilatimes.net/2021/01/29/sports/sports-top/michael-strahan-tests-positive-for-covid-19/834370/,12.0
6,,,,,https://www.manilatimes.net/2021/01/28/news/latest-stories/ph-records-1169-new-covid-19-cases/834279/,12.0
7,,,,,https://www.manilatimes.net/2021/01/28/news/latest-stories/palace-some-mgcq-areas-to-revert-to-stricter-quarantine-in-feb/834202/,12.0
8,,,,,https://www.manilatimes.net/2021/01/28/news/latest-stories/ph-economy-contracts-by-more-than-9-percent-in-2020/834147/,12.0
9,,,,,https://www.manilatimes.net/2021/01/28/campus-press/catching-fire/833758/,12.0
